date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-08-19,Dunstall Park,19:16,4,Sharkeys Slough,512801,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512801
2026-08-19,Dunstall Park,19:16,5,Swift Zaria,512801,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512801
2026-08-19,Dunstall Park,19:16,6,Barnagrane Ed,512801,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512801
2026-08-19,Dunstall Park,19:33,1,Porthall Coco,512802,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512802
2026-08-19,Dunstall Park,19:33,2,Moyar Hill,512802,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512802
2026-08-19,Dunstall Park,19:33,3,Ballymac Elijah,512802,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512802
2026-08-19,Dunstall Park,19:33,4,Pennys Mawu,512802,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512802
2026-08-19,Dunstall Park,19:33,5,Swift Olympia,512802,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512802
2026-08-19,Dunstall Park,19:33,6,Mid Tipp Goose,512802,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512802
2026-08-19,Dunstall Park,19:49,1,Flush Seskin,512803,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512803
2026-08-19,Dunstall Park,19:49,2,Miss Tibbs,512803,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512803
2026-08-19,Dunstall Park,19:49,3,Basaljett,512803,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512803
2026-08-19,Dunstall Park,19:49,4,Breezer,512803,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512803
2026-08-19,Dunstall Park,19:49,5,Mr Gaffney,512803,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512803
2026-08-19,Dunstall Park,19:49,6,Seomra Ophelia,512803,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512803
2026-08-19,Dunstall Park,20:07,1,Tantalising Jess,512804,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512804
2026-08-19,Dunstall Park,20:07,2,Elemjay Lass,512804,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512804
2026-08-19,Dunstall Park,20:07,3,Swift Ida,512804,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512804
2026-08-19,Dunstall Park,20:07,4,Shortwood Mint,512804,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512804
2026-08-19,Dunstall Park,20:07,5,Porthall Island,512804,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512804
2026-08-19,Dunstall Park,20:07,6,Headford Wizard,512804,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512804
2026-08-19,Dunstall Park,20:24,1,Oode Lally,512805,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512805
2026-08-19,Dunstall Park,20:24,2,Distant Pablo,512805,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512805
2026-08-19,Dunstall Park,20:24,3,Ashtons Bingo,512805,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512805
2026-08-19,Dunstall Park,20:24,4,Racecourse Pluto,512805,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512805
2026-08-19,Dunstall Park,20:24,5,Shes Got Style,512805,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512805
2026-08-19,Dunstall Park,20:24,6,Midget Lee,512805,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512805
2026-08-19,Dunstall Park,20:41,1,Listen Angie,512806,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512806
2026-08-19,Dunstall Park,20:41,2,Blazeaway Tee,512806,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512806
2026-08-19,Dunstall Park,20:41,3,Brosna Wood,512806,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512806
2026-08-19,Dunstall Park,20:41,4,Crokers Java,512806,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512806
2026-08-19,Dunstall Park,20:41,5,Swift Elm,512806,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512806
2026-08-19,Dunstall Park,20:41,6,Rathsilla Gizmo,512806,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512806
2026-08-19,Dunstall Park,20:59,1,Antigua Lumiere,512807,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512807
2026-08-19,Dunstall Park,20:59,2,Moyar Princess,512807,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512807
2026-08-19,Dunstall Park,20:59,3,Moulton Kathleen,512807,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512807
2026-08-19,Dunstall Park,20:59,4,Drombeg Abby,512807,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512807
2026-08-19,Dunstall Park,20:59,5,Ashtons Deako,512807,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512807
2026-08-19,Dunstall Park,20:59,6,Headford Killian,512807,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512807
2026-08-19,Dunstall Park,21:16,1,Klassical Mia,512808,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512808
2026-08-19,Dunstall Park,21:16,2,Angels Oakley,512808,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512808
2026-08-19,Dunstall Park,21:16,3,Edial Tony,512808,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512808
2026-08-19,Dunstall Park,21:16,4,Ridgedale Zuni,512808,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512808
