Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-16,Hove,17:31,1402673,https://www.timeform.com/greyhound-racing/racecards/hove/1731/2026-09-16/1402673,500m,A3,Yougo Jazz,Coolavanny Sissy,Avarua Sarah,Yougo Jazz has the advantage on final time and has obvious claims. Coolavanny Sissy is likely to be on the premises as well.,"5/4 Yougo Jazz, 100/30 Coolavanny Sissy, 7/2 Avarua Sarah, 4/1 Annadown Jacob, 8/1 Riverside Ada",YOUGO JAZZ Yougo Jazz has won 20% of races despite being in the last pair at the first bend. Bet →,COMPLETE,
2026-09-16,Hove,17:49,1402674,https://www.timeform.com/greyhound-racing/racecards/hove/1749/2026-09-16/1402674,500m,A6,Radical Kylian,Digbys Maverick,Double The Odds,Radical Kylian is running really well right now and sets a good standard. Digbys Maverick should come out best of the rest.,"5/6 Radical Kylian, 9/4 Digbys Maverick, 5/1 Double The Odds, 5/1 Kates Bart, 17/2 Conscientious",KATES BART Kates Bart has won only 29.41% of races after leading at the first bend. Bet →,COMPLETE,
2026-09-16,Kinsley,11:14,1402996,https://www.timeform.com/greyhound-racing/racecards/kinsley/1114/2026-09-16/1402996,462m,A8,Deecee Ava,Caddells Pride,Bells Meadow,Deecee Ava has been hard to fault in recent races and has leading claims. Bells Meadow is likely to be in the mix too.,"3/1 Caddells Pride, 7/2 Deecee Ava, 4/1 Bells Meadow, 9/2 Sporting Chicpea, 9/2 Shrewd Amiee, 15/2 Golan Zoe",DEECEE AVA Deecee Ava has been a beaten favourite in each of its last 2 races in last 60 days. Bet →,COMPLETE,
2026-09-16,Kinsley,11:30,1402997,https://www.timeform.com/greyhound-racing/racecards/kinsley/1130/2026-09-16/1402997,462m,A6,Highview Arrow,Swift Kat,Move Over Manly,Highview Arrow has recorded some excellent efforts in recent races and has strong claims. Swift Kat is the pick of the others.,"7/4 Swift Kat, 11/4 Highview Arrow, 4/1 Move Over Manly, 4/1 Urgent Call, 9/2 Got The Ballymac",GOT THE BALLYMAC Got The Ballymac has finished in the first two in 12.50% of races from this class. Bet →,COMPLETE,
2026-09-16,Kinsley,11:46,1402998,https://www.timeform.com/greyhound-racing/racecards/kinsley/1146/2026-09-16/1402998,268m,D3,Hazelgrove Dawn,Queen Nina,Monroe Marley,Hazelgrove Dawn continues to run creditably and could be difficult to catch. Queen Nina can emerge best of the remainder.,"5/2 Hazelgrove Dawn, 100/30 Queen Nina, 4/1 Me Birthday, 4/1 Monroe Marley, 9/2 Not Wired Up, 9/1 Roanna Nena",HAZELGROVE DAWN Hazelgrove Dawn has won only 55.56% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-16,Kinsley,12:03,1402999,https://www.timeform.com/greyhound-racing/racecards/kinsley/1203/2026-09-16/1402999,462m,A8,Listen Nelly,Tommys Clodagh,Swift Vienna,Listen Nelly's recent efforts make it the one to beat here and will take all the beating. Tommys Clodagh is favourite to play the lead supporting role.,"13/8 Listen Nelly, 100/30 Tommys Clodagh, 4/1 Swift Vienna, 4/1 Blackbell Mini, 6/1 Scotrath Kiki, 14/1 Mohican Yoshi",SCOTRATH KIKI Scotrath Kiki has won 76.92% of races if in front at the second bend. Bet →,COMPLETE,
2026-09-16,Kinsley,12:20,1403000,https://www.timeform.com/greyhound-racing/racecards/kinsley/1220/2026-09-16/1403000,268m,D4,Glenshee,Forgotten Girl,Twoshookmen,Glenshee's recent efforts have had a lot to like about them and should give it a good go. Forgotten Girl looks second best in this race.,"5/2 Glenshee, 4/1 Forgotten Girl, 9/2 Mid Tipp Scar, 9/2 Clay Twister, 5/1 Twoshookmen, 11/2 Eimhears Girl",GLENSHEE Glenshee has finished in the first two in 50% of races from this trap. Bet →,COMPLETE,
2026-09-16,Kinsley,12:37,1403001,https://www.timeform.com/greyhound-racing/racecards/kinsley/1237/2026-09-16/1403001,462m,A5,Deecee Phoenix,Hazelgrove Raven,Darver Pigeon,Deecee Phoenix's recent runs have been likeable on the whole and should make a bold show. Darver Pigeon looks set to play the lead supporting role.,"3/1 Deecee Phoenix, 100/30 Darver Pigeon, 7/2 Hazelgrove Raven, 9/2 Private Bucks, 7/1 Julies Treat, 7/1 Swift Remi",DEECEE PHOENIX Deecee Phoenix has won 80% of races if in front at the second bend. Bet →,COMPLETE,
2026-09-16,Kinsley,12:53,1403002,https://www.timeform.com/greyhound-racing/racecards/kinsley/1253/2026-09-16/1403002,268m,D5,Tomahurra Winter,Ferndale Gin,Crystal Twodots,Tomahurra Winter is the one to beat on expected final time and its last two starts are easily explained away. Ferndale Gin could well be best of the rest.,"5/2 Tomahurra Winter, 5/2 Ferndale Gin, 7/2 Crystal Twodots, 7/2 Laylas Friend, 9/2 Coastal Fever",FERNDALE GIN Ferndale Gin has finished in the first two in 50% of races from this class. Bet →,COMPLETE,
2026-09-16,Kinsley,13:11,1403003,https://www.timeform.com/greyhound-racing/racecards/kinsley/1311/2026-09-16/1403003,462m,A6,Slanestown Cindy,Revilo Eagle,Lantern Bright,Slanestown Cindy is compiling a very respectable record right now and is the one they all have to beat. Revilo Eagle has the best prospects of the rest.,"5/2 Revilo Eagle, 3/1 Lantern Bright, 7/2 Slanestown Cindy, 7/2 Dairyland Jose, 7/2 Grange Bell",GRANGE BELL Grange Bell has finished in the first two in 53.85% of races from this trap. Bet →,COMPLETE,
